index,unique_invoices,total_quantity,avg_quantity_per_order,unit_price_std,customer_age_days,days_since_last_purchase,average_days_between_purchase,is_onetime_buyer,target_clv
0,6,2040,12.91,2.3,313,39,52.166666666666664,0,7.07840903090841
1,4,2113,52.82,10.49,347,158,86.75,0,5.017279836814924
2,3,754,10.19,23.29,498,317,166.0,0,7.262972160464244
3,7,365,7.6,54.17,302,171,43.142857142857146,0,6.618645521205829
4,5,2778,24.58,4.33,334,155,66.8,0,4.083452121055677
5,2,3261,23.8,72.39,298,297,149.0,0,8.52215486194586
6,4,667,12.83,5.77,641,60,160.25,0,6.528250272543504
7,9,1502,7.62,15.57,643,99,71.44444444444444,0,7.8070626058158785
8,7,1527,11.66,6.96,565,22,80.71428571428571,0,6.86791197205757
9,5,813,9.13,13.81,648,29,129.6,0,7.93155062628852
10,1,510,17.0,3.16,21,21,21.0,1,6.265168124033893
11,6,1804,13.36,6.66,578,184,96.33333333333333,0,6.552622003204975
12,3,727,8.45,7.07,554,318,184.66666666666666,0,7.231901865912713
13,2,455,15.17,3.36,206,122,103.0,0,5.30240898445129
14,3,750,19.74,6.31,497,330,165.66666666666666,0,6.074034827008621
15,1,79,7.9,12.03,7,7,7.0,1,4.976733742420574
16,3,497,9.75,2.44,444,79,148.0,0,5.760162808092309
17,8,2108,12.26,116.17,572,95,71.5,0,7.473131586079154
18,1,456,9.5,6.01,29,29,29.0,1,5.96796559681922
19,1,46,4.18,10.97,31,31,31.0,1,5.682150174529087
20,6,1102,11.13,1.96,491,57,81.83333333333333,0,6.727599375467364
21,5,710,4.93,9.53,572,374,114.4,0,5.877959846311161
22,5,780,12.19,2.14,337,155,67.4,0,6.067035733955056
23,1,122,8.13,3.87,126,126,126.0,1,6.201239130683238
24,11,2653,17.01,5.03,512,21,46.54545454545455,0,6.897987731423084
25,1,511,10.22,3.99,44,44,44.0,1,6.94340230642828
26,1,92,30.67,8.33,431,431,431.0,1,6.0607573736039315
27,4,1913,21.02,2.44,606,93,151.5,0,7.254913078229027
28,4,1149,20.89,3.76,173,43,43.25,0,5.664903036595284
29,7,1591,14.08,4.67,407,8,58.142857142857146,0,6.502340169624015
30,5,9068,49.82,3.55,474,92,94.8,0,8.430037076679879
31,5,1459,16.58,3.33,448,47,89.6,0,5.234738384905166
32,3,177,6.32,4.33,311,145,103.66666666666667,0,5.274024673978992
33,21,62655,97.59,14.15,437,8,20.80952380952381,0,9.8499628229795
34,18,1866,7.46,5.58,643,16,35.72222222222222,0,6.458479339226662
35,5,439,10.45,8.22,414,24,82.8,0,5.012367126941014
36,9,1287,10.72,4.15,375,10,41.666666666666664,0,4.976871663943447
37,1,501,11.13,1.71,357,357,357.0,1,6.534660550904423
38,1,140,7.78,5.29,281,281,281.0,1,6.199900469549918
39,8,2674,11.63,18.93,193,29,24.125,0,5.962396124610635
40,7,2330,20.62,4.39,455,82,65.0,0,6.567572165566575
41,22,3073,11.64,2.97,603,28,27.40909090909091,0,7.216643405230971
42,3,1171,18.02,86.69,81,79,27.0,0,6.791086622174933
43,6,9749,22.52,2.3,386,0,64.33333333333333,0,8.718606338465714
44,2,173,5.41,2.88,290,169,145.0,0,6.107356907675215
45,4,2704,35.58,3.64,546,177,136.5,0,7.954828629059541
46,32,5299,14.44,4.43,646,7,20.1875,0,7.484340553003962
47,1,494,13.35,6.61,49,49,49.0,1,7.3517870402391186
48,2,524,6.02,5.97,80,31,40.0,0,7.541651269136792
49,1,119,7.93,1.53,330,330,330.0,1,4.900820428089049
50,5,1412,13.45,3.43,348,1,69.6,0,7.023910323513135
51,5,5699,19.72,2.89,438,127,87.6,0,7.9707887480778945
52,4,4681,246.37,49.8,330,305,82.5,0,8.013217387311407
53,8,2017,12.45,5.28,631,37,78.875,0,5.524257005164247
54,2,905,12.93,6.92,164,40,82.0,0,6.6583704164627004
55,4,558,13.95,10.35,344,143,86.0,0,7.065049583866895
56,3,627,12.06,8.74,397,194,132.33333333333334,0,6.082698247530829
57,1,253,7.23,5.39,212,212,212.0,1,5.767914663251885
58,3,433,9.62,4.01,151,84,50.333333333333336,0,5.687348168192776
59,6,69,4.06,5.16,218,15,36.333333333333336,0,5.464255444091467
60,1,226,11.89,3.71,78,78,78.0,1,5.444363867477279
61,66,10458,14.09,4.23,642,16,9.727272727272727,0,8.782305982912664
62,17,8405,12.56,3.14,635,48,37.35294117647059,0,7.285910853346715
63,2,691,13.29,3.55,101,24,50.5,0,7.451752588136199
64,26,4762,11.05,5.1,576,8,22.153846153846153,0,7.713252988038227
65,1,162,9.0,3.65,319,319,319.0,1,6.395144729850894
66,18,3626,11.47,4.33,411,50,22.833333333333332,0,8.036272588268444
67,6,3877,10.71,2.99,532,10,88.66666666666667,0,8.184661580321512
68,6,1913,12.03,3.51,416,52,69.33333333333333,0,6.600060957265026
69,12,5183,19.48,3.65,516,89,43.0,0,7.1567848768025435
70,17,1476,15.87,11.45,586,8,34.470588235294116,0,6.731447602504959
71,9,2354,6.92,3.6,590,12,65.55555555555556,0,6.583423053321758
72,17,3940,13.05,4.36,647,2,38.05882352941177,0,7.149587111449229
73,2,301,11.15,3.62,312,14,156.0,0,4.925948485929061
74,7,498,7.32,4.41,485,71,69.28571428571429,0,5.845918408476643
75,2,3721,106.31,2.89,554,310,277.0,0,6.826545223556594
76,13,1530,17.19,4.46,582,16,44.76923076923077,0,7.810871608264848
77,2,368,33.45,6.91,506,326,253.0,0,6.180120167963518
78,3,1213,25.27,3.45,508,90,169.33333333333334,0,6.488992142729983
79,2,683,4.74,2.11,99,35,49.5,0,6.682409304112727
80,1,167,11.13,4.31,19,19,19.0,1,7.220476245525344
81,1,200,9.52,3.83,386,386,386.0,1,5.467384807663575
82,4,937,9.01,3.82,183,51,45.75,0,6.0875471557850265
83,19,1692,9.51,4.58,641,17,33.73684210526316,0,6.545220341628289
84,15,4426,26.19,4.4,578,71,38.53333333333333,0,7.065305886784171
85,1,234,11.14,1.33,3,3,3.0,1,6.582163633457136
86,4,447,17.88,3.89,438,204,109.5,0,4.171151270461865
87,4,415,7.98,5.46,222,24,55.5,0,6.230501132424104
88,8,1990,17.3,5.08,551,33,68.875,0,6.072422220687907
89,1,959,9.99,2.28,595,595,595.0,1,4.70835834378426
90,1,102,12.75,4.68,287,287,287.0,1,5.8139812669542765
91,6,3247,8.97,3.61,625,171,104.16666666666667,0,6.748102825449125
92,27,7496,14.36,6.09,641,1,23.74074074074074,0,8.123830552095704
93,2,338,14.08,7.51,190,82,95.0,0,5.780373076817914
94,1,272,10.07,2.3,169,169,169.0,1,5.518656990529513
95,9,1381,9.94,4.39,332,19,36.888888888888886,0,6.976385418022962
96,1,131,2.43,2.65,60,60,60.0,1,5.481929756524914
97,7,4680,117.0,0.98,632,67,90.28571428571429,0,8.003363058629947
98,1,680,10.97,2.73,52,52,52.0,1,6.4596853380415356
99,5,1020,11.59,4.12,344,36,68.8,0,7.505437267724016
100,14,4396,9.66,4.57,576,5,41.142857142857146,0,7.19931980494814
101,14,707,9.82,6.03,161,3,11.5,0,7.365015555518005
102,1,137,13.7,1.28,31,31,31.0,1,5.3320422359496575
